AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;81.0291;-87.6001;-0.0039;-0.0063;-75.3304;88.0002;359.8398;0.0501;271.6666;160.9101;0.0961;359.9938; ; ; ; ; ; ;214051;71.45892;Infinity;2963.75;82.1547;-87.1466;0.4935;1.2134;-75.7156;87.9111;353.1204;352.5557;298.6174;163.1465;356.6216;359.7039;;;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.4, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.6)_1.001127_System.String[];0.0000;0.0135;0.0191;80.6645;-87.1417;1.0068;1.1098;-75.6753;88.0257;37.0126;356.5417;268.9435;144.6636;0.2274;0.8578
0.0000;0.0000;False;False;81.0292;-87.6001;-0.0037;-0.0060;-75.3305;88.0003;359.8398;0.0504;271.6681;160.9100;0.0961;359.9938;-0.0005;0.0027;0.0043;-0.0013;0.0016;-0.0013;214054;65.7594;Infinity;2963.81;82.1547;-87.1466;0.4938;1.2137;-75.7157;87.9111;353.1205;352.5562;298.6180;163.1467;356.6216;359.7040;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.4, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.6)_1.001127_System.String[];0.0515;0.0135;0.0191;80.6609;-87.1315;1.0057;1.1096;-75.6759;88.0328;37.4369;356.8547;268.9203;138.0950;0.3236;2.1249
0.0000;0.0000;False;False;81.0292;-87.6001;-0.0036;-0.0058;-75.3305;88.0003;359.8393;0.0502;271.6703;160.9088;0.0961;359.9938;0.0002;0.0016;0.0027;-0.0014;-0.0006;0.0004;214057;68.66305;Infinity;2963.85;82.1547;-87.1466;0.4939;1.2139;-75.7158;87.9112;353.1201;352.5562;298.6204;163.1456;356.6213;359.7040;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.1)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.6, 0.4, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.6)_1.001127_System.String[];0.0933;0.0135;0.0191;80.6587;-87.1241;1.0048;1.1082;-75.6765;88.0383;37.7262;357.8139;268.8511;133.2244;0.3627;3.1298
0.0000;0.0000;False;False;81.0291;-87.6001;-0.0035;-0.0057;-75.3306;88.0002;359.8386;0.0495;271.6731;160.9078;0.0961;359.9938;0.0008;0.0009;0.0016;-0.0014;-0.0024;-0.0003;214060;69.85786;Infinity;2963.89;82.1547;-87.1466;0.4939;1.2140;-75.7159;87.9112;353.1196;352.5557;298.6230;163.1444;356.6211;359.7039;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.5, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.6)_1.001127_System.String[];0.1355;0.0135;0.0191;80.6568;-87.1180;1.0042;1.1053;-75.6769;88.0420;37.9869;359.6138;268.7769;129.9405;0.3824;3.9408
0.0000;0.0000;False;False;81.0292;-87.6001;-0.0035;-0.0057;-75.3307;88.0002;359.8381;0.0486;271.6757;160.9071;0.0961;359.9938;0.0008;0.0004;0.0009;-0.0014;-0.0024;0.0005;214063;70.67162;Infinity;2963.93;82.1547;-87.1466;0.4940;1.2141;-75.7160;87.9111;353.1191;352.5548;298.6255;163.1435;356.6208;359.7039;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.5, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.6)_1.001127_System.String[];0.1772;0.0135;0.0191;80.6552;-87.1139;1.0035;1.1016;-75.6771;88.0431;38.1535;1.8758;268.7558;128.8391;0.4198;4.3985
0.0000;0.0000;False;False;81.0292;-87.6001;-0.0035;-0.0057;-75.3307;88.0001;359.8374;0.0477;271.6784;160.9067;0.0961;359.9938;0.0005;0.0001;0.0004;-0.0014;-0.0017;0.0002;214066;71.31778;Infinity;2963.97;82.1547;-87.1466;0.4940;1.2141;-75.7161;87.9111;353.1186;352.5538;298.6283;163.1431;356.6205;359.7039;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.5, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.6)_1.001127_System.String[];0.2190;0.0135;0.0191;80.6540;-87.1122;1.0031;1.0978;-75.6775;88.0417;38.2679;4.2538;268.7764;129.7189;0.4855;4.4900
0.0000;0.0000;False;False;81.0293;-87.6000;-0.0035;-0.0056;-75.3308;88.0000;359.8368;0.0471;271.6805;160.9078;0.0961;359.9938;0.0007;-0.0001;0.0001;-0.0015;-0.0021;0.0021;214069;71.64996;Infinity;2964.01;82.1547;-87.1465;0.4939;1.2141;-75.7162;87.9110;353.1179;352.5532;298.6311;163.1437;356.6202;359.7039;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.5, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.5, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.4, 0.7)_1.001127_System.String[];0.2607;0.0135;0.0191;80.6528;-87.1130;1.0028;1.0944;-75.6776;88.0380;38.3450;6.3955;268.7911;132.3399;0.5430;4.3193
0.0000;0.0000;False;False;81.0293;-87.6000;-0.0035;-0.0056;-75.3309;87.9999;359.8362;0.0466;271.6819;160.9083;0.0961;359.9938;0.0005;-0.0002;-0.0001;-0.0014;-0.0017;0.0005;214072;71.81679;Infinity;2964.06;82.1548;-87.1465;0.4939;1.2141;-75.7163;87.9109;353.1175;352.5526;298.6321;163.1442;356.6200;359.7039;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.5)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.5, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.6, -0.4, 0.7)_1.001127_System.String[];0.3022;0.0135;0.0191;80.6519;-87.1159;1.0024;1.0918;-75.6780;88.0328;38.4068;7.9840;268.8141;136.0155;0.5781;3.9384
0.0000;0.0000;False;False;81.0294;-87.6000;-0.0035;-0.0057;-75.3309;87.9998;359.8358;0.0461;271.6847;160.9083;0.0961;359.9938;0.0004;-0.0003;-0.0002;-0.0014;-0.0013;0.0007;214075;71.61205;Infinity;2964.10;82.1548;-87.1465;0.4939;1.2141;-75.7165;87.9109;353.1171;352.5520;298.6346;163.1451;356.6198;359.7038;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.5)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.4, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.7)_1.001127_System.String[];0.3442;0.0135;0.0191;80.6509;-87.1202;1.0021;1.0904;-75.6782;88.0271;38.4836;8.8276;268.8398;139.8443;0.6104;3.5660
0.0000;0.0000;False;False;81.0295;-87.6000;-0.0035;-0.0057;-75.3310;87.9997;359.8355;0.0453;271.6860;160.9083;0.0960;359.9938;0.0012;-0.0003;-0.0003;-0.0014;-0.0037;0.0020;214078;71.5565;Infinity;2964.14;82.1549;-87.1465;0.4939;1.2141;-75.7166;87.9108;353.1168;352.5514;298.6367;163.1442;356.6195;359.7038;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.9, 0.1, -1.4)_(0.5, 0.4, -0.7, -0.2)_1.025375_System.String[];HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.4, -0.6, 0.1)_1.001127_System.String[];HandRight_(-0.6, 0.1, -1.6)_(0.0, -0.4, -0.5, 0.8)_1.025375_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.4, 0.7)_1.001127_System.String[];0.3862;0.0135;0.0191;80.6501;-87.1254;1.0019;1.0897;-75.6786;88.0215;38.5484;9.1342;268.8772;143.4976;0.6609;3.2161
